EmployeeID,FullName,Age,Gender,Department,JobRole,EducationField,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,OverTime,BusinessTravel,Attrition
EMP-0001,Employee 1,41,Female,Research & Development,Laboratory Technician,Marketing,6233.1,1,1,10,6,1,0,2,3,1,1,3,3,No,Travel_Rarely,1
EMP-0002,Employee 2,38,Female,Research & Development,Manager,Other,12725.7,26,0,11,0,0,0,0,2,1,3,3,3,No,Travel_Frequently,1
EMP-0003,Employee 3,44,Male,Research & Development,Laboratory Technician,Technical Degree,3543.62,1,2,2,2,2,0,0,4,4,2,1,3,No,Non-Travel,0
EMP-0004,Employee 4,21,Female,Sales,Sales Executive,Medical,3364.34,9,2,3,3,3,3,2,1,4,3,3,3,No,Travel_Rarely,0
EMP-0005,Employee 5,18,Male,Research & Development,Research Scientist,Technical Degree,3204.98,8,3,0,0,0,0,0,3,2,3,4,3,No,Travel_Rarely,1
EMP-0006,Employee 6,40,Male,Sales,Sales Executive,Life Sciences,2696.66,1,1,1,1,1,0,1,3,1,2,2,3,Yes,Travel_Rarely,0
EMP-0007,Employee 7,33,Male,Research & Development,Manager,Medical,10678.12,14,0,10,0,0,0,0,3,4,3,2,3,No,Travel_Frequently,0
EMP-0008,Employee 8,30,Female,Research & Development,Healthcare Representative,Marketing,7317.0,7,4,12,10,1,1,3,1,4,3,2,4,No,Travel_Rarely,0
EMP-0009,Employee 9,46,Male,Research & Development,Manufacturing Director,Marketing,9820.54,30,4,12,5,5,3,5,3,1,3,3,3,Yes,Non-Travel,1
EMP-0010,Employee 10,29,Male,Research & Development,Manager,Other,12443.77,2,2,11,5,5,3,5,1,4,4,4,3,Yes,Travel_Rarely,1
EMP-0011,Employee 11,35,Female,Human Resources,Human Resources,Technical Degree,7216.14,8,3,16,2,0,1,2,3,4,3,3,3,No,Travel_Rarely,0
EMP-0012,Employee 12,38,Male,Sales,Manager,Medical,14051.39,7,3,14,14,5,4,6,3,2,3,1,3,Yes,Travel_Rarely,0
EMP-0013,Employee 13,28,Male,Sales,Sales Executive,Technical Degree,5192.81,5,1,8,5,5,5,1,2,1,3,3,3,No,Travel_Rarely,0
EMP-0014,Employee 14,32,Male,Research & Development,Manager,Life Sciences,8715.77,1,2,2,2,2,2,0,4,4,3,2,3,Yes,Non-Travel,0
EMP-0015,Employee 15,34,Male,Research & Development,Research Director,Technical Degree,8997.54,7,3,2,2,2,2,2,3,3,3,3,4,No,Travel_Rarely,0
EMP-0016,Employee 16,37,Female,Sales,Sales Executive,Human Resources,3658.78,6,3,7,0,0,0,0,4,1,3,4,3,No,Travel_Rarely,0
EMP-0017,Employee 17,53,Female,Research & Development,Research Scientist,Other,7743.41,3,2,22,0,0,0,0,4,4,3,4,3,Yes,Non-Travel,0
EMP-0018,Employee 18,36,Male,Research & Development,Research Director,Marketing,16475.29,4,7,18,17,2,2,4,3,2,3,4,4,No,Travel_Rarely,0
EMP-0019,Employee 19,38,Male,Sales,Manager,Human Resources,15690.16,13,2,16,14,1,0,0,3,2,3,3,3,No,Travel_Rarely,0
EMP-0020,Employee 20,41,Male,Sales,Sales Executive,Human Resources,7198.0,20,4,12,7,4,0,4,4,4,3,3,3,Yes,Travel_Rarely,1
EMP-0021,Employee 21,18,Male,Research & Development,Research Scientist,Technical Degree,3200.24,18,5,0,0,0,0,0,2,4,4,2,3,Yes,Non-Travel,1
